Making Salsa		
and	conj.	和
eat	v.	吃
go	v.	去
goes	v.	去（第三人称单数）
in	prep.	里面
chips	n.	薯片（名词复数）
cilantro	n.	香菜
onion	n.	洋葱
pepper	n.	辣椒
salsa	n.	番茄酱沙司
We Make A Snowman		
in	prep.	在...里面
make	v.	制作
the	art.	这个
we	pron.	我们
snowman	n.	雪人
soup	n.	汤
The  Animals of Canada		
in	prep.	在...里
is	v.	是
this	pron.	这个
beaver	n.	河狸
eagle	n.	老鹰
goose	n.	鹅
loon	n.	潜鸟
moose	n.	驼鹿
What Is at the Zoo		
are	v.	是
at	prep.	在
the	art.	这个
there	adv.	那里
giraffes	n.	长颈鹿（名词复数）
sea lions	n.	海狮（名词复数）
dinosaurs	n.	恐龙（名词复数）
Quiet or Loud		
game	n.	比赛
library	n.	图书馆
loud	adj.	大声的
places	n.	地方
play	n.	戏剧
quiet	adj.	安静的
author	n.	作者
purpose	n.	目的
New Again		
can	modal.	能够
into	prep.	进入到
we	pron.	我们
airplane	n.	飞机
bucket	n.	桶
drum	n.	鼓
fort	n.	堡垒
puppet	n.	木偶
sprinkler	n.	洒水器
The Woodsy Band Jam		
came	v.	来（动词过去式）
here	adv.	这里
is	v.	是
my	pron.	我的
out	adv.	外面
said	v.	说（动词过去式）
banjo	n.	班卓
drum	n.	鼓
fiddle	n.	小提琴
fife	n.	小横笛
horn	n.	号角
I won't		
no	adv.	不
will	modal	将会
you	pron.	你
watch	v.	观看
mask	n.	面具
picture	n.	图片
scary	adj.	可怕的
song	n.	歌曲
