Level H Quiz words	
opinion	n.	观点
happen	v.	发生
different	adj.	不同的
effect	n.	后果
take place	v.	发生
describe	v.	描述
mean	v.	意味着
sentence	n.	句子
main idea	n.	中心思想
detail	n.	细节
author's purpose	n.	作者意图
section	n.	部分
reader	n.	读者
indicate	v.	指明
beginning	n.	开端
first step	n.	第一步
information	n.	信息
caption	n.	说明文字
page	n.	页码
mostly	adv.	主要的
solve	v.	解决
problem	n.	问题
event	n.	事件
statement	n.	陈述
fantasy	n.	奇幻作品
example	n.	例子
alike	adj.	相似的
table of contents	n.	目录
passage	n.	文章
similar	adj.	相似的
following	adj.	接下来的
word	n.	单词
fact	n.	事实
reason	n.	原因
cause	v.	造成
character	n.	角色
fact	n.	事实
explain	v.	解释
title	n.	标题
